database	description	size	overlap	expect	enrichmentRatio	pValue	FDR
geneontology_Cellular_Component	neuronal cell body	486	42	4.61	9.1	0	0
geneontology_Cellular_Component	presynapse	483	53	4.59	11.6	0	0
geneontology_Cellular_Component	synaptic membrane	430	52	4.08	12.7	0	0
geneontology_Cellular_Component	axon part	374	34	3.55	9.57	0	0
geneontology_Cellular_Component	glutamatergic synapse	350	38	3.32	11.4	0	0
geneontology_Cellular_Component	neuron to neuron synapse	341	32	3.24	9.88	0	0
geneontology_Cellular_Component	postsynaptic specialization	340	35	3.23	10.8	0	0
geneontology_Cellular_Component	transporter complex	332	34	3.15	10.8	0	0
geneontology_Cellular_Component	transmembrane transporter complex	324	34	3.08	11.1	0	0
geneontology_Cellular_Component	postsynaptic membrane	321	41	3.05	13.5	0	0
geneontology_Cellular_Component	asymmetric synapse	320	30	3.04	9.87	0	0
geneontology_Cellular_Component	postsynaptic density	316	30	3	10	0	0
geneontology_Cellular_Component	ion channel complex	300	32	2.85	11.2	0	0
geneontology_Cellular_Component	cation channel complex	219	24	2.08	11.5	0	0
geneontology_Cellular_Component	exocytic vesicle	197	23	1.87	12.3	0	0
geneontology_Cellular_Component	synaptic vesicle	180	23	1.71	13.5	0	0
geneontology_Cellular_Component	intrinsic component of synaptic membrane	166	31	1.58	19.7	0	0
geneontology_Cellular_Component	presynaptic membrane	161	22	1.53	14.4	0	0
geneontology_Cellular_Component	integral component of synaptic membrane	154	28	1.46	19.1	0	0
geneontology_Cellular_Component	intrinsic component of postsynaptic membrane	122	22	1.16	19	0	0
geneontology_Cellular_Component	integral component of postsynaptic membrane	117	19	1.11	17.1	0	0
geneontology_Cellular_Component	postsynaptic specialization membrane	102	19	0.968	19.6	0	0
geneontology_Cellular_Component	intrinsic component of postsynaptic specialization membrane	77	16	0.731	21.9	0	0
geneontology_Cellular_Component	GABA-ergic synapse	75	17	0.712	23.9	0	0
geneontology_Cellular_Component	excitatory synapse	49	16	0.465	34.4	0	0
geneontology_Cellular_Component	main axon	69	15	0.655	22.9	1.11e-16	3.22e-14
geneontology_Cellular_Component	integral component of postsynaptic specialization membrane	74	15	0.703	21.3	2.22e-16	6.18e-14
geneontology_Cellular_Component	intrinsic component of presynaptic membrane	84	15	0.798	18.8	2.11e-15	5.25e-13
geneontology_Cellular_Component	ionotropic glutamate receptor complex	52	12	0.494	24.3	5.48e-14	1.12e-11
geneontology_Cellular_Component	neurotransmitter receptor complex	54	12	0.513	23.4	8.97e-14	1.78e-11
geneontology_Cellular_Component	transport vesicle	374	24	3.55	6.76	1.51e-13	2.88e-11
geneontology_Cellular_Component	integral component of presynaptic membrane	75	13	0.712	18.3	2.49e-13	4.69e-11
geneontology_Cellular_Component	distal axon	280	21	2.66	7.9	2.76e-13	5.13e-11
geneontology_Cellular_Component	synaptic vesicle membrane	102	14	0.968	14.5	8.33e-13	1.43e-10
geneontology_Cellular_Component	exocytic vesicle membrane	102	14	0.968	14.5	8.33e-13	1.43e-10
geneontology_Cellular_Component	dendritic spine	165	16	1.57	10.2	4.42e-12	7.22e-10
geneontology_Cellular_Component	neuron projection terminus	139	15	1.32	11.4	4.46e-12	7.22e-10
geneontology_Cellular_Component	neuron spine	167	16	1.59	10.1	5.32e-12	8.52e-10
geneontology_Cellular_Component	postsynaptic density membrane	75	12	0.712	16.9	5.75e-12	9.1e-10
geneontology_Cellular_Component	transport vesicle membrane	198	17	1.88	9.04	6.64e-12	1.03e-09
geneontology_Cellular_Component	Schaffer collateral - CA1 synapse	82	12	0.779	15.4	1.72e-11	2.58e-09
geneontology_Cellular_Component	receptor complex	396	22	3.76	5.85	2.86e-11	4.17e-09
geneontology_Cellular_Component	myelin sheath	158	15	1.5	10	2.87e-11	4.17e-09
geneontology_Cellular_Component	neuronal cell body membrane	27	8	0.256	31.2	1.07e-10	1.34e-08
geneontology_Cellular_Component	cell body membrane	27	8	0.256	31.2	1.07e-10	1.34e-08
geneontology_Cellular_Component	AMPA glutamate receptor complex	27	8	0.256	31.2	1.07e-10	1.34e-08
geneontology_Cellular_Component	dendrite membrane	40	9	0.38	23.7	1.09e-10	1.34e-08
geneontology_Cellular_Component	neuron projection membrane	57	10	0.541	18.5	1.36e-10	1.64e-08
geneontology_Cellular_Component	perikaryon	126	13	1.2	10.9	2.21e-10	2.61e-08
geneontology_Cellular_Component	GABA-A receptor complex	19	7	0.18	38.8	2.83e-10	3.26e-08
geneontology_Cellular_Component	intrinsic component of synaptic vesicle membrane	46	9	0.437	20.6	4.17e-10	4.57e-08
geneontology_Cellular_Component	GABA receptor complex	20	7	0.19	36.9	4.32e-10	4.66e-08
geneontology_Cellular_Component	axon terminus	121	12	1.15	10.4	1.77e-09	1.68e-07
geneontology_Cellular_Component	intrinsic component of postsynaptic density membrane	54	9	0.513	17.6	1.89e-09	1.79e-07
geneontology_Cellular_Component	leading edge membrane	169	13	1.6	8.1	8.34e-09	7.3e-07
geneontology_Cellular_Component	voltage-gated potassium channel complex	89	10	0.845	11.8	1.23e-08	1.03e-06
geneontology_Cellular_Component	integral component of synaptic vesicle membrane	33	7	0.313	22.3	2.14e-08	1.68e-06
geneontology_Cellular_Component	presynaptic active zone	71	9	0.674	13.4	2.3e-08	1.79e-06
geneontology_Cellular_Component	plasma membrane receptor complex	184	13	1.75	7.44	2.32e-08	1.79e-06
geneontology_Cellular_Component	axon initial segment	20	6	0.19	31.6	2.34e-08	1.8e-06
geneontology_Cellular_Component	integral component of postsynaptic density membrane	51	8	0.484	16.5	2.54e-08	1.93e-06
geneontology_Cellular_Component	potassium channel complex	98	10	0.93	10.7	3.15e-08	2.33e-06
geneontology_Cellular_Component	clathrin-sculpted vesicle	12	5	0.114	43.9	5.48e-08	3.77e-06
geneontology_Cellular_Component	calyx of Held	23	6	0.218	27.5	5.95e-08	4.05e-06
geneontology_Cellular_Component	node of Ranvier	15	5	0.142	35.1	2.03e-07	1.28e-05
geneontology_Cellular_Component	parallel fiber to Purkinje cell synapse	16	5	0.152	32.9	2.93e-07	1.79e-05
geneontology_Cellular_Component	chloride channel complex	49	7	0.465	15	3.8e-07	2.28e-05
geneontology_Cellular_Component	juxtaparanode region of axon	10	4	0.0949	42.1	1.58e-06	8.62e-05
geneontology_Cellular_Component	glial cell projection	23	5	0.218	22.9	2.14e-06	0.00011
geneontology_Cellular_Component	astrocyte projection	12	4	0.114	35.1	3.67e-06	0.000178
geneontology_Cellular_Component	paranode region of axon	12	4	0.114	35.1	3.67e-06	0.000178
geneontology_Cellular_Component	cell projection membrane	335	14	3.18	4.4	4.03e-06	0.000194
geneontology_Cellular_Component	cell leading edge	393	15	3.73	4.02	5.44e-06	0.000254
geneontology_Cellular_Component	clathrin-coated vesicle	181	10	1.72	5.82	9.23e-06	0.000409
geneontology_Cellular_Component	terminal bouton	52	6	0.494	12.2	9.55e-06	0.000421
geneontology_Cellular_Component	intrinsic component of organelle membrane	227	10	2.16	4.64	6.43e-05	0.00235
geneontology_Cellular_Component	coated vesicle	275	11	2.61	4.21	6.64e-05	0.0024
geneontology_Cellular_Component	SNARE complex	47	5	0.446	11.2	8.1e-05	0.00286
geneontology_Cellular_Component	neuron projection cytoplasm	81	6	0.769	7.8	0.000121	0.00402
geneontology_Cellular_Component	NMDA selective glutamate receptor complex	11	3	0.104	28.7	0.000131	0.00429
geneontology_Cellular_Component	anchored component of synaptic membrane	12	3	0.114	26.3	0.000174	0.0055
geneontology_Cellular_Component	growth cone	164	8	1.56	5.14	0.000175	0.00553
geneontology_Cellular_Component	site of polarized growth	166	8	1.58	5.08	0.00019	0.00597
geneontology_Cellular_Component	anchored component of membrane	167	8	1.59	5.05	0.000198	0.00621
geneontology_Cellular_Component	hippocampal mossy fiber to CA3 synapse	32	4	0.304	13.2	0.00023	0.00695
geneontology_Cellular_Component	clathrin-coated vesicle membrane	107	6	1.02	5.91	0.000551	0.0148
geneontology_Cellular_Component	integral component of organelle membrane	204	8	1.94	4.13	0.000755	0.0195
geneontology_Cellular_Component	endocytic vesicle membrane	160	7	1.52	4.61	0.000853	0.0217
geneontology_Cellular_Component	coated vesicle membrane	169	7	1.6	4.36	0.00117	0.0283
geneontology_Cellular_Component	T-tubule	51	4	0.484	8.26	0.00139	0.0329
geneontology_Cellular_Component	axon cytoplasm	53	4	0.503	7.95	0.0016	0.0372
geneontology_Molecular_Function	passive transmembrane transporter activity	457	32	4.34	7.37	0	0
geneontology_Molecular_Function	channel activity	456	32	4.33	7.39	0	0
geneontology_Molecular_Function	substrate-specific channel activity	431	32	4.09	7.82	0	0
geneontology_Molecular_Function	ion channel activity	415	31	3.94	7.87	0	0
geneontology_Molecular_Function	gated channel activity	344	30	3.27	9.19	0	0
geneontology_Molecular_Function	ion gated channel activity	335	30	3.18	9.43	0	0
geneontology_Molecular_Function	extracellular ligand-gated ion channel activity	75	15	0.712	21.1	3.33e-16	9.1e-14
geneontology_Molecular_Function	transmitter-gated ion channel activity	61	14	0.579	24.2	4.44e-16	1.17e-13
geneontology_Molecular_Function	transmitter-gated channel activity	61	14	0.579	24.2	4.44e-16	1.17e-13
geneontology_Molecular_Function	metal ion transmembrane transporter activity	440	28	4.18	6.7	1.44e-15	3.65e-13
geneontology_Molecular_Function	postsynaptic neurotransmitter receptor activity	47	12	0.446	26.9	1.44e-14	3.3e-12
geneontology_Molecular_Function	neurotransmitter receptor activity	116	16	1.1	14.5	1.69e-14	3.79e-12
geneontology_Molecular_Function	ligand-gated ion channel activity	139	17	1.32	12.9	1.93e-14	4.2e-12
geneontology_Molecular_Function	ligand-gated channel activity	139	17	1.32	12.9	1.93e-14	4.2e-12
geneontology_Molecular_Function	cation channel activity	318	23	3.02	7.62	4.06e-14	8.45e-12
geneontology_Molecular_Function	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential	42	11	0.399	27.6	1.37e-13	2.66e-11
geneontology_Molecular_Function	neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential	45	11	0.427	25.7	3.18e-13	5.83e-11
geneontology_Molecular_Function	monovalent inorganic cation transmembrane transporter activity	382	22	3.63	6.07	1.42e-11	2.15e-09
geneontology_Molecular_Function	voltage-gated ion channel activity	197	16	1.87	8.55	6.57e-11	8.63e-09
geneontology_Molecular_Function	voltage-gated channel activity	197	16	1.87	8.55	6.57e-11	8.63e-09
geneontology_Molecular_Function	GABA-A receptor activity	19	7	0.18	38.8	2.83e-10	3.26e-08
geneontology_Molecular_Function	GABA receptor activity	22	7	0.209	33.5	9.35e-10	9.24e-08
geneontology_Molecular_Function	voltage-gated cation channel activity	142	13	1.35	9.64	9.87e-10	9.68e-08
geneontology_Molecular_Function	glutamate receptor activity	27	7	0.256	27.3	4.68e-09	4.31e-07
geneontology_Molecular_Function	inhibitory extracellular ligand-gated ion channel activity	16	6	0.152	39.5	4.98e-09	4.54e-07
geneontology_Molecular_Function	ligand-gated anion channel activity	19	6	0.18	33.3	1.65e-08	1.33e-06
geneontology_Molecular_Function	ionotropic glutamate receptor activity	19	6	0.18	33.3	1.65e-08	1.33e-06
geneontology_Molecular_Function	benzodiazepine receptor activity	11	5	0.104	47.9	3.22e-08	2.37e-06
geneontology_Molecular_Function	neurotransmitter transporter activity	54	8	0.513	15.6	4.05e-08	2.89e-06
geneontology_Molecular_Function	potassium ion transmembrane transporter activity	160	12	1.52	7.9	4.22e-08	2.98e-06
geneontology_Molecular_Function	GABA-gated chloride ion channel activity	12	5	0.114	43.9	5.48e-08	3.77e-06
geneontology_Molecular_Function	sodium ion transmembrane transporter activity	149	11	1.41	7.78	1.84e-07	1.18e-05
geneontology_Molecular_Function	potassium channel activity	124	10	1.18	8.49	2.97e-07	1.81e-05
geneontology_Molecular_Function	calmodulin binding	192	12	1.82	6.58	3.11e-07	1.87e-05
geneontology_Molecular_Function	chloride channel activity	74	8	0.703	11.4	4.99e-07	2.94e-05
geneontology_Molecular_Function	amyloid-beta binding	78	8	0.741	10.8	7.51e-07	4.24e-05
geneontology_Molecular_Function	ligand-gated cation channel activity	106	9	1.01	8.94	7.64e-07	4.25e-05
geneontology_Molecular_Function	syntaxin-1 binding	22	5	0.209	23.9	1.69e-06	9.1e-05
geneontology_Molecular_Function	anion channel activity	87	8	0.826	9.68	1.74e-06	9.33e-05
geneontology_Molecular_Function	voltage-gated potassium channel activity	88	8	0.836	9.57	1.9e-06	9.99e-05
geneontology_Molecular_Function	chloride transmembrane transporter activity	99	8	0.94	8.51	4.63e-06	0.000221
geneontology_Molecular_Function	structural constituent of synapse	15	4	0.142	28.1	9.88e-06	0.000433
geneontology_Molecular_Function	anion transmembrane transporter activity	327	13	3.1	4.19	1.53e-05	0.000647
geneontology_Molecular_Function	amino acid:cation symporter activity	21	4	0.199	20.1	4.14e-05	0.00159
geneontology_Molecular_Function	calcium ion transmembrane transporter activity	137	8	1.3	6.15	4.98e-05	0.00188
geneontology_Molecular_Function	structural constituent of cytoskeleton	101	7	0.959	7.3	5.02e-05	0.00188
geneontology_Molecular_Function	amino acid transmembrane transporter activity	73	6	0.693	8.66	6.77e-05	0.00244
geneontology_Molecular_Function	protein C-terminus binding	187	9	1.78	5.07	7.64e-05	0.00272
geneontology_Molecular_Function	glutamate receptor binding	47	5	0.446	11.2	8.1e-05	0.00286
geneontology_Molecular_Function	neurotransmitter:sodium symporter activity	27	4	0.256	15.6	0.000116	0.00391
geneontology_Molecular_Function	active transmembrane transporter activity	346	12	3.29	3.65	0.000121	0.00402
geneontology_Molecular_Function	inorganic anion transmembrane transporter activity	156	8	1.48	5.4	0.000124	0.0041
geneontology_Molecular_Function	L-amino acid transmembrane transporter activity	52	5	0.494	10.1	0.000132	0.00431
geneontology_Molecular_Function	clathrin binding	57	5	0.541	9.24	0.000205	0.00631
geneontology_Molecular_Function	ionotropic glutamate receptor binding	32	4	0.304	13.2	0.00023	0.00695
geneontology_Molecular_Function	ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	33	4	0.313	12.8	0.000259	0.00778
geneontology_Molecular_Function	delayed rectifier potassium channel activity	33	4	0.313	12.8	0.000259	0.00778
geneontology_Molecular_Function	calcium-dependent protein binding	60	5	0.57	8.78	0.000261	0.00782
geneontology_Molecular_Function	L-glutamate transmembrane transporter activity	14	3	0.133	22.6	0.000284	0.00839
geneontology_Molecular_Function	acidic amino acid transmembrane transporter activity	14	3	0.133	22.6	0.000284	0.00839
geneontology_Molecular_Function	secondary active transmembrane transporter activity	224	9	2.13	4.23	0.000297	0.00872
geneontology_Molecular_Function	amino acid:sodium symporter activity	15	3	0.142	21.1	0.000352	0.0101
geneontology_Molecular_Function	solute:cation symporter activity	102	6	0.968	6.2	0.000427	0.012
geneontology_Molecular_Function	outward rectifier potassium channel activity	16	3	0.152	19.7	0.00043	0.012
geneontology_Molecular_Function	symporter activity	143	7	1.36	5.16	0.000437	0.0122
geneontology_Molecular_Function	syntaxin binding	70	5	0.665	7.52	0.000536	0.0146
geneontology_Molecular_Function	solute:sodium symporter activity	71	5	0.674	7.42	0.000572	0.0154
geneontology_Molecular_Function	calcium channel regulator activity	43	4	0.408	9.8	0.000726	0.0189
geneontology_Molecular_Function	neurotransmitter binding	55	4	0.522	7.66	0.00184	0.0417
geneontology_Molecular_Function	phosphatidylserine binding	55	4	0.522	7.66	0.00184	0.0417
geneontology_Molecular_Function	channel regulator activity	139	6	1.32	4.55	0.00213	0.0476
disease_GLAD4U	Central Nervous System Diseases	495	32	4.7	6.81	0	0
disease_GLAD4U	Brain Diseases	490	31	4.65	6.66	0	0
disease_GLAD4U	Schizophrenia	413	49	3.92	12.5	0	0
disease_GLAD4U	Bipolar Disorder	353	33	3.35	9.85	0	0
disease_GLAD4U	Seizures	275	26	2.61	9.96	0	0
disease_GLAD4U	Epilepsy	252	31	2.39	13	0	0
disease_GLAD4U	Mood Disorders	198	24	1.88	12.8	0	0
disease_GLAD4U	Epilepsy, Generalized	97	17	0.921	18.5	0	0
disease_GLAD4U	Epilepsy, Temporal Lobe	65	15	0.617	24.3	0	0
disease_GLAD4U	Substance-Related Disorders	218	22	2.07	10.6	2.22e-16	6.18e-14
disease_GLAD4U	Epilepsies, Partial	59	13	0.56	23.2	9.1e-15	2.15e-12
disease_GLAD4U	Eating Disorders	191	19	1.81	10.5	2.46e-14	5.28e-12
disease_GLAD4U	Depression	222	20	2.11	9.49	3.33e-14	7.03e-12
disease_GLAD4U	Anxiety Disorders	156	17	1.48	11.5	1.34e-13	2.62e-11
disease_GLAD4U	schizoaffective disorder	150	16	1.42	11.2	1.01e-12	1.69e-10
disease_GLAD4U	Psychotic Disorders	133	14	1.26	11.1	3.32e-11	4.77e-09
disease_GLAD4U	Seizures, Febrile	36	9	0.342	26.3	3.87e-11	5.39e-09
disease_GLAD4U	Alcoholism	149	14	1.41	9.9	1.55e-10	1.86e-08
disease_GLAD4U	Autistic Disorder	211	16	2	7.99	1.83e-10	2.18e-08
disease_GLAD4U	Learning Disorders	82	11	0.779	14.1	3.24e-10	3.67e-08
disease_GLAD4U	Autism Spectrum Disorder	256	17	2.43	6.99	3.84e-10	4.31e-08
disease_GLAD4U	Brain Death	160	14	1.52	9.22	4e-10	4.42e-08
disease_GLAD4U	Cadaver	85	11	0.807	13.6	4.82e-10	5.16e-08
disease_GLAD4U	Depressive Disorder, Major	136	13	1.29	10.1	5.76e-10	6.08e-08
disease_GLAD4U	Neurodegenerative Diseases	473	22	4.49	4.9	8.43e-10	8.63e-08
disease_GLAD4U	Obsessive-Compulsive Disorder	72	10	0.684	14.6	1.49e-09	1.44e-07
disease_GLAD4U	Alzheimer Disease	227	15	2.16	6.96	4.63e-09	4.3e-07
disease_GLAD4U	Epilepsy, Rolandic	17	6	0.161	37.2	7.64e-09	6.74e-07
disease_GLAD4U	Epilepsies, Myoclonic	64	9	0.608	14.8	9.01e-09	7.8e-07
disease_GLAD4U	Epilepsy, Absence	65	9	0.617	14.6	1.04e-08	8.92e-07
disease_GLAD4U	Tauopathies	212	14	2.01	6.96	1.55e-08	1.27e-06
disease_GLAD4U	Dementia	251	15	2.38	6.29	1.8e-08	1.42e-06
disease_GLAD4U	cognitive dysfunction	93	10	0.883	11.3	1.89e-08	1.49e-06
disease_GLAD4U	Paraneoplastic Syndromes, Nervous System	35	7	0.332	21.1	3.32e-08	2.42e-06
disease_GLAD4U	Movement Disorders	266	15	2.53	5.94	3.89e-08	2.79e-06
disease_GLAD4U	Alcohol-Related Disorders	136	11	1.29	8.52	7.24e-08	4.85e-06
disease_GLAD4U	Attention Deficit Disorder with Hyperactivity	117	10	1.11	9	1.72e-07	1.11e-05
disease_GLAD4U	Attention Deficit and Disruptive Behavior Disorders	93	9	0.883	10.2	2.49e-07	1.56e-05
disease_GLAD4U	Epilepsy, Benign Neonatal	16	5	0.152	32.9	2.93e-07	1.79e-05
disease_GLAD4U	Peripheral Nervous System Diseases	156	11	1.48	7.43	2.93e-07	1.79e-05
disease_GLAD4U	Demyelinating Diseases	198	12	1.88	6.38	4.33e-07	2.57e-05
disease_GLAD4U	Hypoxia-Ischemia, Brain	34	6	0.323	18.6	7.26e-07	4.11e-05
disease_GLAD4U	Depressive Disorder	143	10	1.36	7.37	1.11e-06	6.15e-05
disease_GLAD4U	Encephalopathy, Infantile	116	9	1.1	8.17	1.63e-06	8.86e-05
disease_GLAD4U	Panic Disorder	94	8	0.892	8.96	3.14e-06	0.000156
disease_GLAD4U	Status Epilepticus	27	5	0.256	19.5	4.97e-06	0.000236
disease_GLAD4U	Dyskinesias	176	10	1.67	5.98	7.21e-06	0.000328
disease_GLAD4U	Memory Disorders	78	7	0.741	9.45	9.26e-06	0.000409
disease_GLAD4U	Neuroblastoma	235	11	2.23	4.93	1.58e-05	0.000665
disease_GLAD4U	Mental Retardation	436	15	4.14	3.62	1.86e-05	0.000772
disease_GLAD4U	Fasciculation	61	6	0.579	10.4	2.43e-05	0.001
disease_GLAD4U	Neuromuscular Diseases	343	13	3.26	3.99	2.52e-05	0.00103
disease_GLAD4U	Epilepsy, Tonic-Clonic	38	5	0.361	13.9	2.84e-05	0.00115
disease_GLAD4U	methamphetamine dependence	63	6	0.598	10	2.92e-05	0.00117
disease_GLAD4U	Nerve Degeneration	129	8	1.22	6.53	3.24e-05	0.00129
disease_GLAD4U	Diplopia	20	4	0.19	21.1	3.38e-05	0.00133
disease_GLAD4U	Polyneuropathies	130	8	1.23	6.48	3.42e-05	0.00135
disease_GLAD4U	Hypoxia, Brain	70	6	0.665	9.03	5.34e-05	0.00198
disease_GLAD4U	Neuritis	23	4	0.218	18.3	6.04e-05	0.00221
disease_GLAD4U	Signs and Symptoms	486	15	4.61	3.25	6.45e-05	0.00235
disease_GLAD4U	Paraneoplastic Syndromes	46	5	0.437	11.4	7.3e-05	0.0026
disease_GLAD4U	Sclerosis	238	10	2.26	4.43	9.53e-05	0.00332
disease_GLAD4U	Myokymia	10	3	0.0949	31.6	9.62e-05	0.00332
disease_GLAD4U	suicide	78	6	0.741	8.1	9.82e-05	0.00339
disease_GLAD4U	Paralysis	79	6	0.75	8	0.000105	0.00362
disease_GLAD4U	Dysarthria	80	6	0.76	7.9	0.000113	0.00384
disease_GLAD4U	lennox gastaut syndrome	28	4	0.266	15	0.000135	0.00438
disease_GLAD4U	Myoclonic Epilepsy, Juvenile	53	5	0.503	9.94	0.000145	0.00469
disease_GLAD4U	Multiple Sclerosis	207	9	1.97	4.58	0.000165	0.00528
disease_GLAD4U	Myoclonus	56	5	0.532	9.4	0.000188	0.00592
disease_GLAD4U	Speech Disorders	89	6	0.845	7.1	0.000204	0.00631
disease_GLAD4U	Encephalomyelitis	58	5	0.551	9.08	0.000222	0.00682
disease_GLAD4U	Developmental disorder NOS	133	7	1.26	5.54	0.000282	0.00839
disease_GLAD4U	Basal Ganglia Diseases	223	9	2.12	4.25	0.000288	0.00849
disease_GLAD4U	Craniocerebral Trauma	34	4	0.323	12.4	0.000292	0.00857
disease_GLAD4U	Tobacco Use Disorder	99	6	0.94	6.38	0.000364	0.0103
disease_GLAD4U	Brain Ischemia	145	7	1.38	5.08	0.000475	0.0132
disease_GLAD4U	Dystonia	146	7	1.39	5.05	0.000495	0.0137
disease_GLAD4U	Brain Injuries	39	4	0.37	10.8	0.000499	0.0137
disease_GLAD4U	Parkinson Disease	192	8	1.82	4.39	0.000507	0.0139
disease_GLAD4U	Coma	40	4	0.38	10.5	0.00055	0.0148
disease_GLAD4U	Dystonic Disorders	41	4	0.389	10.3	0.000605	0.0162
disease_GLAD4U	Personality Disorders	74	5	0.703	7.12	0.000692	0.0182
disease_GLAD4U	Neuromyelitis Optica	19	3	0.18	16.6	0.000729	0.0189
disease_GLAD4U	Ataxia	311	10	2.95	3.39	0.000801	0.0206
disease_GLAD4U	Epilepsy, Reflex	20	3	0.19	15.8	0.000852	0.0217
disease_GLAD4U	Paraparesis	45	4	0.427	9.36	0.000864	0.0219
disease_GLAD4U	Spastic Paraplegia, Hereditary	79	5	0.75	6.67	0.000932	0.0234
disease_GLAD4U	Bulimia	119	6	1.13	5.31	0.000964	0.0241
disease_GLAD4U	Hereditary Motor and Sensory Neuropathies	119	6	1.13	5.31	0.000964	0.0241
disease_GLAD4U	Middle lobe syndrome	21	3	0.199	15	0.000987	0.0245
disease_GLAD4U	Myelitis, Transverse	21	3	0.199	15	0.000987	0.0245
disease_GLAD4U	Headache Disorders	81	5	0.769	6.5	0.00104	0.0258
disease_GLAD4U	Long QT Syndrome	48	4	0.456	8.78	0.0011	0.027
disease_GLAD4U	Spasms, Infantile	50	4	0.475	8.43	0.00129	0.0309
disease_GLAD4U	Paraplegia	85	5	0.807	6.2	0.0013	0.0309
disease_GLAD4U	Unspecified optic neuritis	24	3	0.228	13.2	0.00147	0.0347
disease_GLAD4U	Sick Sinus Syndrome	52	4	0.494	8.1	0.00149	0.035
disease_GLAD4U	Migraine with Aura	55	4	0.522	7.66	0.00184	0.0417
disease_GLAD4U	Migraine without Aura	55	4	0.522	7.66	0.00184	0.0417
disease_GLAD4U	Migraine NOS	93	5	0.883	5.66	0.00193	0.0436
disease_GLAD4U	Stroke	239	8	2.27	3.53	0.00207	0.0464
disease_GLAD4U	Stroke NOS	239	8	2.27	3.53	0.00207	0.0464
disease_GLAD4U	Psychomotor epilepsy	57	4	0.541	7.39	0.0021	0.0468
phenotype_Human_Phenotype_Ontology	Epileptic encephalopathy	80	13	0.76	17.1	5.95e-13	1.05e-10
phenotype_Human_Phenotype_Ontology	Myoclonus	175	17	1.66	10.2	8.93e-13	1.52e-10
phenotype_Human_Phenotype_Ontology	Focal-onset seizure	58	11	0.551	20	6.42e-12	1e-09
phenotype_Human_Phenotype_Ontology	Interictal EEG abnormality	109	13	1.03	12.6	3.48e-11	4.94e-09
phenotype_Human_Phenotype_Ontology	EEG abnormality	288	19	2.73	6.95	3.76e-11	5.29e-09
phenotype_Human_Phenotype_Ontology	Abnormality of central nervous system electrophysiology	304	19	2.89	6.58	9.53e-11	1.23e-08
phenotype_Human_Phenotype_Ontology	Generalized-onset seizure	144	14	1.37	10.2	9.76e-11	1.25e-08
phenotype_Human_Phenotype_Ontology	Interictal epileptiform activity	107	12	1.02	11.8	4.2e-10	4.57e-08
phenotype_Human_Phenotype_Ontology	Chorea	112	12	1.06	11.3	7.18e-10	7.51e-08
phenotype_Human_Phenotype_Ontology	Abnormal nervous system electrophysiology	384	20	3.65	5.49	7.48e-10	7.77e-08
phenotype_Human_Phenotype_Ontology	Absent speech	177	14	1.68	8.33	1.52e-09	1.46e-07
phenotype_Human_Phenotype_Ontology	EEG with generalized epileptiform discharges	97	11	0.921	11.9	2.04e-09	1.9e-07
phenotype_Human_Phenotype_Ontology	Encephalopathy	198	14	1.88	7.45	6.49e-09	5.79e-07
phenotype_Human_Phenotype_Ontology	Generalized tonic-clonic seizures	92	10	0.873	11.4	1.7e-08	1.36e-06
phenotype_Human_Phenotype_Ontology	Inability to walk	98	10	0.93	10.7	3.15e-08	2.33e-06
phenotype_Human_Phenotype_Ontology	Febrile seizures	35	7	0.332	21.1	3.32e-08	2.42e-06
phenotype_Human_Phenotype_Ontology	Delayed speech and language development	439	19	4.17	4.56	4.07e-08	2.89e-06
phenotype_Human_Phenotype_Ontology	Choreoathetosis	61	8	0.579	13.8	1.08e-07	7.15e-06
phenotype_Human_Phenotype_Ontology	Status epilepticus	69	8	0.655	12.2	2.88e-07	1.78e-05
phenotype_Human_Phenotype_Ontology	Tremor	376	16	3.57	4.48	6.33e-07	3.67e-05
phenotype_Human_Phenotype_Ontology	Epileptic spasms	23	5	0.218	22.9	2.14e-06	0.00011
phenotype_Human_Phenotype_Ontology	Focal clonic seizures	11	4	0.104	38.3	2.46e-06	0.000126
phenotype_Human_Phenotype_Ontology	Absence seizures	44	6	0.418	14.4	3.52e-06	0.000173
phenotype_Human_Phenotype_Ontology	Dyskinesia	96	8	0.911	8.78	3.68e-06	0.000178
phenotype_Human_Phenotype_Ontology	Photosensitive tonic-clonic seizures	13	4	0.123	32.4	5.26e-06	0.000248
phenotype_Human_Phenotype_Ontology	Abnormal emotion/affect behavior	296	13	2.81	4.63	5.27e-06	0.000248
phenotype_Human_Phenotype_Ontology	Abnormal aggressive, impulsive or violent behavior	171	10	1.62	6.16	5.59e-06	0.00026
phenotype_Human_Phenotype_Ontology	EEG with spike-wave complexes	28	5	0.266	18.8	6.01e-06	0.000278
phenotype_Human_Phenotype_Ontology	Aggressive behavior	142	9	1.35	6.68	8.67e-06	0.000386
phenotype_Human_Phenotype_Ontology	Focal motor seizures	17	4	0.161	24.8	1.7e-05	0.00071
phenotype_Human_Phenotype_Ontology	Tremor by anatomical site	38	5	0.361	13.9	2.84e-05	0.00115
phenotype_Human_Phenotype_Ontology	Generalized myoclonic seizures	64	6	0.608	9.87	3.2e-05	0.00127
